Round: 84  |  Feature: 11  |  Threshold: 0.1483971044467425  |  Round_error: 0.5352454310179438  |  Train_error: 0.04724637681159416  |  Test_error: 0.0678260869565217  |  AUC: 0.9284000050129082
Round: 85  |  Feature: 51  |  Threshold: 0.01276248537471519  |  Round_error: 0.4680045516635376  |  Train_error: 0.047826086956521685  |  Test_error: 0.06521739130434778  |  AUC: 0.9302641802641802
Round: 86  |  Feature: 51  |  Threshold: 0.0014317384075374097  |  Round_error: 0.5291815671885909  |  Train_error: 0.046666666666666634  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 87  |  Feature: 56  |  Threshold: 0.0018623737373737374  |  Round_error: 0.47056994723827406  |  Train_error: 0.04869565217391303  |  Test_error: 0.0678260869565217  |  AUC: 0.9284000050129082
Round: 88  |  Feature: 18  |  Threshold: 0.10800000000000001  |  Round_error: 0.4660753745917211  |  Train_error: 0.04840579710144932  |  Test_error: 0.0678260869565217  |  AUC: 0.9284000050129082
Round: 89  |  Feature: 18  |  Threshold: 0.07173333333333334  |  Round_error: 0.5339977574172052  |  Train_error: 0.04869565217391303  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 90  |  Feature: 18  |  Threshold: 0.10746666666666667  |  Round_error: 0.4743255636051005  |  Train_error: 0.04753623188405798  |  Test_error: 0.06608695652173913  |  AUC: 0.9298662806727322
Round: 91  |  Feature: 55  |  Threshold: 0.004154985983179816  |  Round_error: 0.5261601163258451  |  Train_error: 0.047826086956521685  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 92  |  Feature: 55  |  Threshold: 0.0026531838205847017  |  Round_error: 0.46454465123912747  |  Train_error: 0.04840579710144932  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 93  |  Feature: 55  |  Threshold: 0.004154985983179816  |  Round_error: 0.5274149424795226  |  Train_error: 0.0481159420289855  |  Test_error: 0.06608695652173913  |  AUC: 0.9298662806727322
Round: 94  |  Feature: 56  |  Threshold: 0.030650252525252525  |  Round_error: 0.4655544343867273  |  Train_error: 0.0501449275362319  |  Test_error: 0.06695652173913047  |  AUC: 0.9284626663658921
Round: 95  |  Feature: 45  |  Threshold: 0.0011337868480725624  |  Round_error: 0.534595558327917  |  Train_error: 0.04840579710144932  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 96  |  Feature: 23  |  Threshold: 0.1004  |  Round_error: 0.4674176293605377  |  Train_error: 0.04898550724637685  |  Test_error: 0.06521739130434778  |  AUC: 0.9299289420257162
Round: 97  |  Feature: 24  |  Threshold: 0.05760921747479597  |  Round_error: 0.537547630938384  |  Train_error: 0.04695652173913045  |  Test_error: 0.0678260869565217  |  AUC: 0.9284000050129082
Round: 98  |  Feature: 22  |  Threshold: 0.09449541284403669  |  Round_error: 0.46705460451463976  |  Train_error: 0.04840579710144932  |  Test_error: 0.06521739130434778  |  AUC: 0.9299289420257162
Round: 99  |  Feature: 32  |  Threshold: 0.003025302530253025  |  Round_error: 0.5355956606688821  |  Train_error: 0.046666666666666634  |  Test_error: 0.0678260869565217  |  AUC: 0.9284000050129082
Round: 100  |  Feature: 2  |  Threshold: 0.2323529411764706  |  Round_error: 0.46659489954888345  |  Train_error: 0.04840579710144932  |  Test_error: 0.06521739130434778  |  AUC: 0.9302641802641802
Round: 101  |  Feature: 54  |  Threshold: 0.0030422151611438947  |  Round_error: 0.5331274096771499  |  Train_error: 0.04695652173913045  |  Test_error: 0.07043478260869562  |  AUC: 0.925530115046244
Round: 102  |  Feature: 54  |  Threshold: 0.001176123467998184  |  Round_error: 0.4703762447690534  |  Train_error: 0.047826086956521685  |  Test_error: 0.06608695652173913  |  AUC: 0.9295310424342682
Round: 103  |  Feature: 54  |  Threshold: 0.0006200635497049479  |  Round_error: 0.5290262364252447  |  Train_error: 0.0481159420289855  |  Test_error: 0.06869565217391305  |  AUC: 0.9269963907060682
Round: 104  |  Feature: 54  |  Threshold: 0.0008520199727644121  |  Round_error: 0.4746659856557557  |  Train_error: 0.04753623188405798  |  Test_error: 0.06608695652173913  |  AUC: 0.9295310424342682
Round: 105  |  Feature: 11  |  Threshold: 0.010858324715615306  |  Round_error: 0.5232009507926665  |  Train_error: 0.04753623188405798  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
