Training Adaboost with 5% initial random data
Iteration 1:

Round: 1  |  Feature: 51  |  Threshold: 0.0024478108257897655  |  Round_error: 0.3705263157894736  |  Train_error: 0.3705263157894737  |  Test_error: 0.16657534246575345  |  AUC: 0.8297845516470899
Round: 2  |  Feature: 52  |  Threshold: 0.004914209561885725  |  Round_error: 0.3641114320539458  |  Train_error: 0.3789473684210526  |  Test_error: 0.1613698630136986  |  AUC: 0.7997314330638613
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6658436023094525  |  Train_error: 0.2947368421052632  |  Test_error: 0.11041095890410957  |  AUC: 0.8914356628961265
Round: 4  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.35429544436906046  |  Train_error: 0.2757894736842105  |  Test_error: 0.10082191780821914  |  AUC: 0.9046723147185544
Round: 5  |  Feature: 45  |  Threshold: 0.0058956916099773245  |  Round_error: 0.6398968526128548  |  Train_error: 0.23578947368421055  |  Test_error: 0.08657534246575338  |  AUC: 0.9165477058668363
Round: 6  |  Feature: 54  |  Threshold: 0.0024861552428506583  |  Round_error: 0.36331103847708085  |  Train_error: 0.24315789473684213  |  Test_error: 0.09835616438356165  |  AUC: 0.9080355434181059
Round: 7  |  Feature: 4  |  Threshold: 0.001  |  Round_error: 0.3920976857909692  |  Train_error: 0.2136842105263158  |  Test_error: 0.05726027397260269  |  AUC: 0.9327609637893669
Round: 8  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.6079501511094001  |  Train_error: 0.2305263157894737  |  Test_error: 0.08136986301369864  |  AUC: 0.9222309934261227
Round: 9  |  Feature: 15  |  Threshold: 0.03325  |  Round_error: 0.36974779707455585  |  Train_error: 0.17157894736842105  |  Test_error: 0.05095890410958903  |  AUC: 0.9404113069654135
Round: 10  |  Feature: 36  |  Threshold: 0.0043541364296081275  |  Round_error: 0.6013810928464428  |  Train_error: 0.18315789473684208  |  Test_error: 0.05123287671232879  |  AUC: 0.943343626028623
Iteration 11:

Round: 1  |  Feature: 51  |  Threshold: 0.005003386908060841  |  Round_error: 0.367546432062561  |  Train_error: 0.3675464320625611  |  Test_error: 0.16969527537042217  |  AUC: 0.8077984507080169
Round: 2  |  Feature: 56  |  Threshold: 0.003314393939393939  |  Round_error: 0.37944564110455614  |  Train_error: 0.3675464320625611  |  Test_error: 0.16969527537042217  |  AUC: 0.8077984507080169
Round: 3  |  Feature: 52  |  Threshold: 0.01732467099783442  |  Round_error: 0.3837735947536561  |  Train_error: 0.30694037145650044  |  Test_error: 0.10371819960861062  |  AUC: 0.8775337519517579
Round: 4  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6618505586352803  |  Train_error: 0.31769305962854355  |  Test_error: 0.16578138104556894  |  AUC: 0.8613982663005437
Round: 5  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.35565130537015677  |  Train_error: 0.2512218963831867  |  Test_error: 0.0589879787531451  |  AUC: 0.9308127052710925
Round: 6  |  Feature: 45  |  Threshold: 0.0058956916099773245  |  Round_error: 0.635951787176094  |  Train_error: 0.2570869990224829  |  Test_error: 0.12161028795079676  |  AUC: 0.8945130363969203
Round: 7  |  Feature: 23  |  Threshold: 0.0028  |  Round_error: 0.3707744606680362  |  Train_error: 0.20723362658846534  |  Test_error: 0.05227844562482531  |  AUC: 0.9380348826253165
Round: 8  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.6073663309617114  |  Train_error: 0.22873900293255134  |  Test_error: 0.0905786972323176  |  AUC: 0.9190163476551984
Round: 9  |  Feature: 4  |  Threshold: 0.07750000000000001  |  Round_error: 0.38348200975787927  |  Train_error: 0.17888563049853368  |  Test_error: 0.04528934861615874  |  AUC: 0.9480433626770042
Round: 10  |  Feature: 36  |  Threshold: 0.0043541364296081275  |  Round_error: 0.5885031685781408  |  Train_error: 0.19159335288367552  |  Test_error: 0.06793402292423822  |  AUC: 0.9317660380660099
Iteration 12:

Round: 1  |  Feature: 52  |  Threshold: 0.004914209561885725  |  Round_error: 0.36380255941499096  |  Train_error: 0.36380255941499084  |  Test_error: 0.15715915573302908  |  AUC: 0.8066697304081565
Round: 2  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6320503378634197  |  Train_error: 0.36380255941499084  |  Test_error: 0.15715915573302908  |  AUC: 0.8066697304081565
Round: 3  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.35403543755872224  |  Train_error: 0.28153564899451555  |  Test_error: 0.0787221905305191  |  AUC: 0.900959682206451
Round: 4  |  Feature: 55  |  Threshold: 0.0008510212254705647  |  Round_error: 0.373501537173383  |  Train_error: 0.2714808043875686  |  Test_error: 0.08071876782658305  |  AUC: 0.8987456067513723
Round: 5  |  Feature: 51  |  Threshold: 0.0028326867417944454  |  Round_error: 0.3717639147287011  |  Train_error: 0.24040219378427785  |  Test_error: 0.05533371363377071  |  AUC: 0.939240087664785
Round: 6  |  Feature: 20  |  Threshold: 0.07875787578757876  |  Round_error: 0.4018929999237039  |  Train_error: 0.24040219378427785  |  Test_error: 0.05533371363377071  |  AUC: 0.939240087664785
Round: 7  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.5961399549468274  |  Train_error: 0.2495429616087751  |  Test_error: 0.05733029092983455  |  AUC: 0.9406133749723653
Round: 8  |  Feature: 15  |  Threshold: 0.03375  |  Round_error: 0.36965515616481504  |  Train_error: 0.24405850091407677  |  Test_error: 0.04791785510553337  |  AUC: 0.9423389925512786
Round: 9  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.5960534901552966  |  Train_error: 0.22486288848263258  |  Test_error: 0.04449515116942382  |  AUC: 0.9514598902275351
Round: 10  |  Feature: 54  |  Threshold: 0.002162051747616886  |  Round_error: 0.38593432213155493  |  Train_error: 0.21846435100548445  |  Test_error: 0.04677695379349689  |  AUC: 0.9434036427190009
Iteration 13:

